id,user,invoice,date,ref_no,pending,due_on,days_passed,sales_person,paid,paid_date
36398,Users object (2),E,2024-05-30,6,60000.00,2024-04-05,61,,False,
36399,Users object (2),F,2024-05-30,7,37302.00,2024-04-06,60,,False,
36400,Users object (2),H,2024-05-30,8,43125.00,2024-04-07,59,,False,
36401,Users object (2),T,2024-05-30,9,56875.00,2024-04-08,58,,False,
36393,Users object (2),B,2024-05-30,2,2408.00,2024-04-01,65,,False,2024-06-05
37120,Users object (2),SRI SWARUPA SUPER SPECIALITY HOSPITAL,2024-05-24,GSTSAL/379,67150.00,2024-05-24,21,,False,
37213,Users object (2),VIJAY ORTHOPAEDIC & ACCIDENT CARE HOSPITAL,2024-02-14,GSTSAL/2257,31815.00,2024-02-14,121,,False,
36396,Users object (2),D,2024-05-30,4,119750.00,2024-04-03,63,,False,2024-06-05
37219,Users object (2),A J SURGICALS,2024-03-07,"GSTSAL/2409
",1544.00,2024-04-21,54,,False,
36554,Users object (2),ANU NEURO &CARDIAC SCIENCES,2024-05-27,GSTSAL/402,45000.00,2024-05-27,18,,False,
36694,Users object (2),KHIMS HOSPITALS,2024-03-09,GSTSAL/2417,81600.00,2024-06-07,7,,False,
36825,Users object (2),MISO HEALTHCARE PRIVATE LIMITED,2023-06-17,GSTSAL/525,98600.00,2023-06-17,363,,False,
36394,Users object (2),B,2024-05-31,0,5000.00,2024-04-10,56,,False,
36395,Users object (2),C,2024-05-30,3,18638.00,2024-04-02,64,,False,
36969,Users object (2),RK HOSPITAL,2024-05-25,GSTSAL/395,20000.00,2024-05-25,20,,False,
36420,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-01-31,GSTSAL/2143,29216.00,2024-05-30,15,,False,
36564,Users object (2),BISHAK PHARMA PRIVATE LIMITED,2023-10-12,GSTSAL/1391,26687.00,2024-01-10,156,,False,
36719,Users object (2),KUNDA HOSPITALS,2022-12-07,GSTSAL/1592,20000.00,2023-03-07,465,,False,
36392,Users object (2),A,2024-05-30,1,500.00,2024-05-31,5,,False,
36397,Users object (2),W,2024-05-30,5,1.00,2024-04-04,62,,True,2024-06-11
36850,Users object (2),MISO HEALTHCARE PRIVATE LIMITED,2023-08-16,GSTSAL/937,19600.00,2023-08-16,303,,False,
36987,Users object (2),SAI BHASKAR MEDICALS,2024-05-18,GSTSAL/334,9000.00,2024-05-18,27,,False,
36582,Users object (2),BISHAK PHARMA PRIVATE LIMITED,2024-01-27,GSTSAL/2120,29828.00,2024-04-26,49,,False,
37214,Users object (2),VIJAY ORTHOPAEDIC & ACCIDENT CARE HOSPITAL,2024-03-19,GSTSAL/2471,26000.00,2024-03-19,87,,False,
37131,Users object (2),SVARA KMR HOSPITAL,2024-05-10,GSTSAL/294,4662.00,2024-05-10,35,,False,
36726,Users object (2),KUNDA HOSPITALS,2023-10-12,GSTSAL/1387,103349.00,2024-01-10,156,,False,
36445,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-03-01,GSTSAL/2368,4019.00,2024-06-29,-15,,False,
36875,Users object (2),MISO HEALTHCARE PRIVATE LIMITED,2023-09-16,GSTSAL/1183,4053.00,2023-09-16,272,,False,
37012,Users object (2),SENTHINI HOSPITALS,2023-06-26,GSTSAL/586,31360.00,2023-06-26,354,,False,
36607,Users object (2),"CAPITAL HOSPITALS, VIJAYAWADA",2024-03-16,GSTSAL/2463,39500.00,2024-03-16,90,,False,
37220,Users object (2),SWASTATA AGENCIES,2023-04-19,"GSTSAL/114
",9500.00,2023-06-03,377,,False,
36744,Users object (2),KUNDA HOSPITALS,2024-02-01,GSTSAL/2157,48000.00,2024-05-01,44,,False,
36888,Users object (2),MISO HEALTHCARE PRIVATE LIMITED,2023-10-12,GSTSAL/1398,11000.00,2023-10-12,246,,False,
37037,Users object (2),SRAVANI HOSPITAL,2023-05-20,GSTSAL/328,60600.00,2023-07-04,346,,False,
37215,Users object (2),VIJAY ORTHOPAEDIC & ACCIDENT CARE HOSPITAL,2024-03-19,GSTSAL/2472,12000.00,2024-03-19,87,,False,
37140,Users object (2),SWASTATA AGENCIES,2024-02-25,GSTSAL/2323,109500.00,2024-04-10,65,,False,
36769,Users object (2),KV SHINE HOSPITALS PRIVATE LIMITED,2024-05-04,GSTSAL/236,48000.00,2024-05-04,41,,False,
36910,Users object (2),MISO HEALTHCARE PRIVATE LIMITED,2023-12-23,GSTSAL/1907,14333.00,2023-12-23,174,,False,
36470,Users object (2),AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED,2024-04-23,GSTSAL/128,28613.00,2024-04-23,52,,False,
37216,Users object (2),VIJAY ORTHOPAEDIC & ACCIDENT CARE HOSPITAL,2024-05-10,GSTSAL/289,40000.00,2024-05-10,35,,False,
37050,Users object (2),SREE KANAKA DURGA ENTERPRISES,2024-05-03,GSTSAL/228,1911.00,2024-05-03,42,,False,
